表4　刑事案件發生數、破獲數及嫌疑犯人數－按案類別,,,,,,,,,,"Table 4. Criminal Cases Known to the Police,
Cases Cleared and Number of Offenders - by Classification",,,,,,,,,
,,,,,,,,,,,,,,,,,,,
單位：件；人,,,,,,,,,,,,,,,,,,"Unit:Cases,Persons",
年別,,,,總計,竊　　盜 Larceny,,,,,贓物,賭博,傷害 Assult,,,"詐欺背信(1)Fraudulent,Breach of Trust",,,重利,妨害自由
,,,,,計,"重大
竊盜","普通
竊盜","汽車
竊盜","機車
竊盜",,,計,重傷害,"一般
傷害",計,詐欺,背信,,
Year,,,,Grand Total,Count,Serious Larceny,General Larceny,Motor Vehicle Theft,Motorcycle Theft,Stolen Property,Gambling,Count,Aggravated Assault,General Assault,Count,Fraudulent,Breach          of Trust,Usury,Interference with Personal Liberty
,,,,,,,,,,,,,,,,,,,
"民國100年
2011","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"347,674","116,831",144,"67,436","11,385","37,866","1,387","6,837","13,467",28,"13,439","24,076","23,612",464,"2,604","5,876"
,,破獲數,Offenses Cleared by the Police,"276,371","77,627",104,"35,799","8,062","33,662","1,387","6,837","11,361",29,"11,332","18,195","17,826",369,"2,584","4,824"
,,嫌疑犯,Offenders,"260,356","36,278",190,"29,759","1,955","4,374","1,203","14,393","16,507",60,"16,447","17,497","17,062",435,"2,621","6,075"
"民國101年
2012","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"317,356","100,264",121,"61,220","8,577","30,346","1,133","6,943","12,883",35,"12,848","20,936","20,421",515,"2,216","6,215"
,,破獲數,Offenses Cleared by the Police,"266,512","70,369",111,"36,706","6,414","27,138","1,133","6,943","11,526",32,"11,494","16,399","15,984",415,"2,202","5,432"
,,嫌疑犯,Offenders,"262,058","37,059",215,"31,370","1,657","3,817","1,023","13,733","17,079",68,"17,011","18,040","17,561",479,"2,429","6,984"
"民國102年
2013","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"298,967","82,496",96,"52,579","6,535","23,286","1,023","6,417","12,429",28,"12,401","19,534","18,772",762,"2,038","6,161"
,,破獲數,Offenses Cleared by the Police,"258,802","60,436",91,"34,760","4,878","20,707","1,023","6,417","11,503",28,"11,475","13,447","12,839",608,"2,035","5,573"
,,嫌疑犯,Offenders,"255,310","33,468",155,"28,685","1,328","3,300","1,082","12,036","15,586",61,"15,525","15,246","14,548",698,"2,136","6,520"
"民國103年
2014","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"306,300","76,330",70,"49,476","6,363","20,421","1,111","6,204","11,526",25,"11,501","23,813","23,053",760,"1,771","5,985"
,,破獲數,Offenses Cleared by the Police,"263,515","59,223",67,"36,029","5,016","18,111","1,111","6,204","10,554",24,"10,530","15,751","15,172",579,"1,757","5,280"
,,嫌疑犯,Offenders,"261,603","34,574",116,"29,357","1,725","3,376","1,143","11,635","14,039",57,"13,982","16,130","15,518",612,"1,893","6,033"
"民國104年
2015","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"297,800","66,255",71,"43,478","5,638","17,068",666,"6,969","11,141",22,"11,119","21,825","21,172",653,"1,909","6,361"
,,破獲數,Offenses Cleared by the Police,"273,567","55,055",59,"34,473","4,721","15,802",666,"6,969","10,476",23,"10,453","18,520","17,958",562,"1,902","5,816"
,,嫌疑犯,Offenders,"269,296","33,913",122,"28,242","2,052","3,497",685,"13,366","13,324",46,"13,278","17,888","17,283",605,"1,967","6,420"
"民國105年
2016","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"294,831","57,606",37,"38,666","4,500","14,403",295,"6,798","11,790",23,"11,767","23,994","23,175",819,"1,347","7,136"
,,破獲數,Offenses Cleared by the Police,"274,091","48,898",39,"31,690","3,822","13,347",295,"6,798","11,118",23,"11,095","20,565","19,812",753,"1,340","6,601"
,,嫌疑犯,Offenders,"272,817","31,543",89,"26,424","1,793","3,237",251,"11,251","15,086",34,"15,052","21,005","20,321",684,"1,587","7,442"
"民國106年
2017","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"293,453","52,025",32,"36,825","3,086","12,082",246,"6,447","11,709",33,"11,676","23,623","22,689",934,857,"7,391"
,,破獲數,Offenses Cleared by the Police,"277,506","46,022",31,"31,588","2,729","11,674",246,"6,447","11,152",33,"11,119","21,667","20,833",834,844,"6,904"
,,嫌疑犯,Offenders,"287,294","32,204",41,"27,929","1,297","2,937",261,"11,038","15,505",63,"15,442","25,104","24,330",774,"1,230","8,535"
"民國107年
2018","╭
｜
﹤
｜
╰",發生數,Offenses Known to the Police,"284,538","47,591",18,"35,652","2,235","9,686",173,"4,542","12,256",35,"12,221","24,585","23,470","1,115",473,"8,206"
